athlete_id,name,born_date,born_city,born_region,born_country,noc,height_cm,weight_kg,died_date
1,jeanfranois blanchy,18861212,bordeaux,gironde,fra,france,176.0,70.0,19601002
2,arnaud boetsch,19690401,meulan,yvelines,fra,france,183.0,76.0,nat
3,jean borotra,18980813,biarritz,pyrnesatlantiques,fra,france,183.0,76.0,19940717
4,jacques brugnon,18950511,paris viiie,paris,fra,france,168.0,64.0,19780320
5,albert canet,18780417,wandsworth,england,gbr,france,176.0,70.0,19300725
6,nicolas chatelain,19700113,amiens,somme,fra,france,181.0,70.0,nat
7,patrick chila,19691127,risorangis,essonne,fra,france,180.0,73.0,nat
8,henri cochet,19011214,villeurbanne,rhne,fra,france,176.0,70.0,19870402
9,marcel cousin,18960804,nmes,gard,fra,france,176.0,70.0,19860801
10,guy de la chapelle,18680716,fargesallichamps,cher,fra,france,176.0,70.0,19230827
11,lie comte de lastours,18740812,orgeval,yvelines,fra,france,176.0,70.0,19321118
12,max decugis,18820924,paris xvie,paris,fra,france,176.0,70.0,19780906
13,j defert,nat,na,na,na,france,176.0,70.0,nat
14,tienne durand,nat,na,na,na,france,176.0,70.0,nat
15,damien loi,19690704,vire,calvados,fra,france,165.0,58.0,nat
16,adrien fauchiermagnan,18731119,paris viiie,paris,fra,france,176.0,70.0,19650806
17,guy forget,19650104,casablanca,casablancasettat,mar,france,189.0,79.0,nat
18,jeanphilippe gatien,19681016,als,gard,fra,france,178.0,73.0,nat
19,maurice germot,18821115,vichy,allier,fra,france,176.0,70.0,19580806
20,andr gobert,18900930,paris xviie,paris,fra,france,176.0,70.0,19511206
21,pierre hirsch,19001108,paris ie,paris,fra,france,176.0,70.0,19420419
22,ren lacoste,19040702,paris xe,paris,fra,france,176.0,70.0,19961012
23,daniel lawton,18811127,cantenac,gironde,fra,france,176.0,70.0,19790327
24,paul lebreton,18751019,paris iie,paris,fra,france,176.0,70.0,19600331
25,paul lecaron,18630729,neuillysurseine,hautsdeseine,fra,france,176.0,70.0,19400917
26,henri leconte,19630704,lillers,pasdecalais,fra,france,184.0,78.0,nat
27,christophe legot,19730806,montbliard,doubs,fra,france,177.0,75.0,nat
28,guy baron lejeune,nat,na,na,na,france,176.0,70.0,nat
29,albert lippmann,nat,na,na,na,france,176.0,70.0,nat
30,douard mny de marangue,18821130,paris vie,paris,fra,france,176.0,70.0,19600123
31,andr prvost,18750228,paris viiie,paris,fra,france,176.0,70.0,19511122
32,guillaume raoux,19700214,bagnolssurcze,gard,fra,france,180.0,77.0,nat
33,stphane renault,19680301,barfleur,manche,fra,france,180.0,72.0,nat
34,jeanpierre samazeuilh,18910117,bordeaux,gironde,fra,france,176.0,70.0,19650413
35,fabrice santoro,19721209,tahiti,les du vent,fpn,france,177.0,68.0,nat
36,tienne thobois,19670920,amiens,somme,fra,france,186.0,78.0,nat
37,pierre verddelisle,18770516,trielaville,oise,fra,france,176.0,70.0,19600718
38,helen aitchison,18811206,sunderland,england,gbr,great britain,176.0,70.0,19470526
39,geraldine beamish,18830623,forest gate,england,gbr,great britain,176.0,70.0,19720510
40,dora boothby,18810802,finchley,england,gbr,great britain,176.0,70.0,19700222
41,julie bradbury,19670212,oxford,england,gbr,great britain,175.0,64.0,nat
42,gillian clark,19610902,baghdad,baghdad,irq,great britain,176.0,68.0,nat
43,mildred coles,18760409,cranbrook,england,gbr,great britain,176.0,70.0,19370224
44,evelyn colyer,19020816,wandsworth,england,gbr,great britain,176.0,70.0,19301104
45,charlotte cooper,18700922,ealing,england,gbr,great britain,176.0,70.0,19661010
46,phyllis covell,18950522,paddington,england,gbr,great britain,176.0,70.0,19821028
47,gladys eastlakesmith,18830814,lewisham,england,gbr,great britain,176.0,70.0,19410918
48,sara gomer,19640513,torquay,england,gbr,great britain,190.0,85.0,nat
49,alison gordon,19621231,reading,england,gbr,great britain,175.0,68.0,nat
50,gillian gowers,19640409,na,na,na,great britain,157.0,55.0,nat
51,alice greene,18791015,upton,england,gbr,great britain,176.0,70.0,19561026
52,edith hannam,18781128,bristol,england,gbr,great britain,176.0,70.0,19510116
53,dorothy holman,18830718,kilburn,england,gbr,great britain,176.0,70.0,19680615
54,andrea holt,19701111,radcliffe,england,gbr,great britain,168.0,64.0,nat
55,monique javer,19670722,burlingame,california,usa,great britain,177.0,64.0,nat
56,valda lake,19681011,torquay,england,gbr,great britain,173.0,61.0,nat
57,dorothy lambert chambers,18780903,ealing,england,gbr,great britain,176.0,70.0,19600107
58,lisa lomas,19670309,dunstable,england,gbr,great britain,168.0,63.0,nat
59,kitty mckane,18960507,bayswater,england,gbr,great britain,176.0,70.0,19920619
60,winifred mcnair,18770809,donnington,england,gbr,great britain,176.0,70.0,19540328
61,kelly morgan,19750522,pontypridd,wales,gbr,great britain,178.0,65.0,nat
62,agatha morton,18720306,halstead,england,gbr,great britain,176.0,70.0,19520405
63,jo muggeridge,19690403,london,england,gbr,great britain,157.0,59.0,nat
64,mabel parton,18810722,london,england,gbr,great britain,176.0,70.0,19620812
65,violet pinckney,18710311,alderbury,england,gbr,great britain,176.0,70.0,19550313
66,sara sankey,19670929,southport,england,gbr,great britain,170.0,68.0,nat
67,phyllis satterthwaite,18860126,kensington,england,gbr,great britain,176.0,70.0,19620120
68,dorothy shepherdbarron,18971124,beighton,england,gbr,great britain,176.0,70.0,19530220
69,sam smith,19711127,epping,england,gbr,great britain,175.0,62.0,nat
70,helen troke,19641107,southampton,england,gbr,great britain,172.0,63.0,nat
71,ruth winch,18700825,ryde,england,gbr,great britain,176.0,70.0,19520109
72,clare wood,19680308,zululand,kwazulunatal,rsa,great britain,175.0,65.0,nat
73,joanne wrightgoode,19721117,harlow,england,gbr,great britain,171.0,68.0,nat
74,sky andrew,19620331,newham,england,gbr,great britain,185.0,78.0,nat
75,simon archer,19730627,leamington spa,england,gbr,great britain,189.0,86.0,nat
76,roper barrett,18731124,upton,england,gbr,great britain,176.0,70.0,19430727
77,jeremy bates,19620619,solihull,england,gbr,great britain,180.0,72.0,nat
78,alfred beamish,18790806,richmond,england,gbr,great britain,176.0,70.0,19440228
79,john pius boland,18700916,dublin,dublin,irl,great britain,176.0,70.0,19580317
80,neil broad,19661120,cape town,western cape,rsa,great britain,191.0,87.0,nat
81,george caridia,18690220,kolkata calcutta,west bengal,ind,great britain,176.0,70.0,19370421
82,andrew castle,19631115,epsom,england,gbr,great britain,190.0,74.0,nat
83,clement cazalet,18690716,na,na,na,great britain,176.0,70.0,19500323
84,xinhua chen,19600130,fuan,fujian,chn,great britain,175.0,71.0,nat
85,alan cooke,19660323,clay cross,england,gbr,great britain,170.0,64.0,nat
86,walter crawley,18800329,masham,england,gbr,great britain,176.0,70.0,19401011
87,charles dixon,18730207,grantham,england,gbr,great britain,176.0,70.0,19390429
88,laurie doherty,18751008,wimbledon,england,gbr,great britain,178.0,70.0,19190821
89,reggie doherty,18721014,wimbledon,england,gbr,great britain,176.0,70.0,19101229
90,desmond douglas,19550720,kingston,kingston,jam,great britain,175.0,66.0,nat
91,wilberforce eaves,18671210,melbourne,victoria,aus,great britain,176.0,70.0,19200210
92,lionel escombe,18760101,natal,kwazulunatal,rsa,great britain,176.0,70.0,19141015
93,anne gibson,19681026,dumfries,scotland,gbr,great britain,173.0,70.0,nat
94,brian gilbert,18870717,barnes,england,gbr,great britain,176.0,70.0,19740728
95,leslie godfree,18850427,brighton,england,gbr,great britain,176.0,70.0,19711117
96,andy goode,19600130,welwyn garden city,england,gbr,great britain,183.0,83.0,nat
97,arthur wentworth gore,18680102,lyndhurst,england,gbr,great britain,176.0,70.0,19281201
98,darren hall,19651025,walthamstow,england,gbr,great britain,183.0,73.0,nat
99,tim henman,19740906,oxford,england,gbr,great britain,185.0,77.0,nat
100,george hillyard,18640206,hanwell,england,gbr,great britain,176.0,70.0,19430324
101,chris hunt,19681201,bolton,england,gbr,great britain,182.0,88.0,nat
102,algernon kingscote,18880203,bengaluru bangalore,karnataka,ind,great britain,176.0,70.0,19641221
103,peter knowles,19691228,stockport,england,gbr,great britain,177.0,77.0,nat
104,arthur lowe,18860129,na,na,na,great britain,176.0,70.0,19581022
105,gordon lowe,18840621,na,na,na,great britain,176.0,70.0,19720517
106,harold mahony,18670213,edinburgh,scotland,gbr,great britain,191.0,70.0,19050627
107,theodore mavrogordato,18830731,city of london,england,gbr,great britain,176.0,70.0,19410824
108,anders nielsen,19670224,cape town,western cape,rsa,great britain,173.0,70.0,20100729
109,arthur norris,nat,na,na,na,great britain,176.0,70.0,nat
110,james parke,18810726,clones,monaghan,irl,great britain,176.0,70.0,19460227
111,nick ponting,19660913,london,england,gbr,great britain,173.0,76.0,nat
112,carl prean,19670820,newport,england,gbr,great britain,185.0,79.0,nat
113,josiah ritchie,18701018,westminster,england,gbr,great britain,176.0,70.0,19550228
114,julian robertson,19691009,peterborough,england,gbr,great britain,182.0,73.0,nat
115,greg rusedski,19730906,montral,qubec,can,great britain,190.0,88.0,nat
116,george simond,18670123,marylebone,england,gbr,great britain,176.0,70.0,19410408
117,matthew syed,19701102,bromley,england,gbr,great britain,175.0,70.0,nat
118,noel turnbull,18901220,highgate,england,gbr,great britain,176.0,70.0,19701217
119,archibald warden,18690511,edinburgh,scotland,gbr,france,176.0,70.0,19431007
120,patrick wheatley,18990120,vryheid,kwazulunatal,rsa,great britain,176.0,70.0,19671105
121,chris wilkinson,19700105,southampton,england,gbr,great britain,180.0,72.0,nat
122,max woosnam,18920906,liverpool,england,gbr,great britain,176.0,70.0,19650714
123,dave wright,19650410,killamarsh,england,gbr,great britain,175.0,77.0,nat
124,steffi graf,19690614,mannheim,badenwrttemberg,ger,germany west germany,175.0,59.0,nat
125,sylvia hanika,19591130,ottendichl,bayern,ger,west germany,173.0,64.0,nat
126,anke huber,19740204,bruchsal,badenwrttemberg,ger,germany,173.0,58.0,nat
127,claudia kohdekilsch,19631211,saarbrcken,saarland,ger,west germany,184.0,68.0,nat
128,dora kring,18800711,chemnitz,sachsen,ger,germany,176.0,70.0,19450213
129,olga nemes,19680609,trgu mure,mure,rou,germany west germany,163.0,53.0,nat
130,katja nolten,19700216,heinsberg,nordrheinwestfalen,ger,west germany,175.0,66.0,nat
131,barbara rittner,19730425,krefeld,nordrheinwestfalen,ger,germany,173.0,65.0,nat
132,elke schallwosik,19730719,speyer,rheinlandpfalz,ger,germany,180.0,68.0,nat
133,katrin schmidt,19670928,langenhagen,niedersachsen,ger,germany,180.0,80.0,nat
134,jie schpp,19680125,baoding,hebei,chn,germany,174.0,63.0,nat
135,karen stechmann,19710915,stade,niedersachsen,ger,germany,169.0,59.0,nat
136,nicole struse,19710531,haan,nordrheinwestfalen,ger,germany,170.0,62.0,nat
137,kerstin ubben,19680904,hamburg,hamburg,ger,germany,165.0,59.0,nat
138,boris becker,19671122,leimen,badenwrttemberg,ger,germany,192.0,85.0,nat
139,georg bhm,19620417,slacea,bihor,rou,west germany,174.0,73.0,nat
140,steffen fetzner,19680817,karlsruhe,badenwrttemberg,ger,germany west germany,170.0,60.0,nat
141,peter franz,19710425,stolzenau,niedersachsen,ger,germany,186.0,74.0,nat
142,stefan frey,19590516,worms,rheinlandpfalz,ger,germany,178.0,82.0,nat
143,otto froitzheim,18840424,strasbourg,basrhin,fra,germany,176.0,70.0,19621027
144,marckevin goellner,19700922,rio de janeiro,rio de janeiro,bra,germany,196.0,85.0,nat
145,hugo hardy,18770811,harvestehude,hamburg,ger,germany,176.0,70.0,19361008
146,michael helber,19701004,bochum,nordrheinwestfalen,ger,germany,185.0,72.0,nat
147,luis maria heyden,18931127,eimsbttel,hamburg,ger,germany,176.0,70.0,19511209
148,eric jelen,19650311,trier,rheinlandpfalz,ger,west germany,184.0,77.0,nat
149,michael keck,19690208,frth,bayern,ger,germany,186.0,78.0,nat
150,oskar kreuzer,18870614,frankfurt am main,hessen,ger,germany,176.0,70.0,19680501
151,stephan kuhl,19680327,kln cologne,nordrheinwestfalen,ger,germany,180.0,79.0,nat
152,paul lindpaintner,18830522,mnchen munich,bayern,ger,germany,176.0,70.0,19690423
153,oliver pongratz,19730414,mindelheim,bayern,ger,germany,182.0,71.0,nat
154,david prinosil,19730309,olomouc,olomouck kraj,cze,germany,184.0,79.0,nat
155,friedrichwilhelm rahe,18880416,rostock,mecklenburgvorpommern,ger,germany,176.0,70.0,19490218
156,jrgen rebel,19630717,darmstadt,hessen,ger,west germany,174.0,78.0,nat
157,jrg rokopf,19690522,dieburg,hessen,ger,germany west germany,182.0,72.0,nat
158,heinrich schomburgk,18850623,na,na,na,germany,176.0,70.0,19650326
159,robert spies,18910217,moskva moscow,moskva,rus,germany,176.0,70.0,19821022
160,carluwe steeb,19670901,aalen,badenwrttemberg,ger,germany west germany,180.0,74.0,nat
161,michael stich,19681018,pinneberg,schleswigholstein,ger,germany,192.0,79.0,nat
162,fritz traun,18760329,wandsbek,hamburg,ger,germany,176.0,70.0,19080711
163,fritz von bissing,18860909,metz,moselle,fra,germany,176.0,70.0,19540318
164,otto von mller,18751017,jlich,nordrheinwestfalen,ger,germany,176.0,70.0,19760402
165,helen amankwah,19640413,na,na,na,ghana,176.0,70.0,nat
166,patricia offel,19711219,na,na,na,ghana,176.0,70.0,nat
167,patience opokua,19690617,na,na,na,ghana,176.0,70.0,nat
168,winifred addy,19730317,na,na,na,ghana,176.0,70.0,nat
169,christina papadaki,19730224,athina athens,attiki,gre,greece,173.0,55.0,nat
170,olga tsarmpopoulou,19680619,na,na,na,greece,170.0,58.0,nat
171,lena valaoritou,18970301,athina athens,attiki,gre,greece,176.0,70.0,19670101
172,christina zachariadou,19740828,athina athens,attiki,gre,greece,163.0,57.0,nat
173,aristidis akratopoulos,nat,na,na,na,greece,176.0,70.0,nat
174,kostas akratopoulos,nat,na,na,na,greece,176.0,70.0,nat
175,tasos bavelas,19680227,athina athens,attiki,gre,greece,180.0,76.0,nat
176,konstantinos efremoglou,19621204,athina athens,attiki,gre,greece,187.0,74.0,nat
177,georgios kalovelonis,19590823,athina athens,attiki,gre,greece,192.0,82.0,nat
178,demetrius casdagli,18721010,salford,england,gbr,greece,176.0,70.0,19310706
179,kallinikos kreangka,19720308,bistria,bistriansud,rou,greece,169.0,62.0,nat
180,pantelis papadopoulos,19020101,na,na,na,greece,176.0,70.0,19870101
181,konstantinos paspatis,18780605,na,na,na,greece,176.0,70.0,19030701
182,dimitrios petrokokkinos,18780417,ilford,england,gbr,greece,176.0,70.0,19420510
183,d frangopoulos,nat,na,na,na,greece,176.0,70.0,nat
184,evangelos rallis,nat,na,na,na,greece,176.0,70.0,nat
185,daniel tsiokas,19710619,clujnapoca,cluj,rou,greece,180.0,68.0,nat
186,avgoustos zerlentis,18861105,aliskanderiya alexandria,aliskanderiya,egy,greece,176.0,70.0,19540101
187,kenneth erichsen,19721228,na,na,na,guatemala,179.0,72.0,nat
188,ronald agnor,19641113,rabat,rabatsalknitra,mar,haiti,180.0,79.0,nat
189,emmy chan,19660515,na,na,na,hong kong china,176.0,70.0,nat
190,chan suk yuen,19690625,na,na,na,hong kong china,176.0,70.0,nat
191,chan tan lui,19690112,na,na,na,hong kong china,176.0,70.0,nat
192,chai po wa,19660412,na,na,na,hong kong china,176.0,70.0,nat
193,hui so hung,19581202,na,na,na,hong kong china,160.0,57.0,nat
194,mok ka sha,19621023,na,na,na,hong kong china,163.0,55.0,nat
195,wong chun fan,19690923,na,na,na,hong kong china,176.0,70.0,nat
196,chan kin ngai,19681118,na,na,na,hong kong china,170.0,58.0,nat
197,chan siu kwong,19660530,na,na,na,hong kong china,185.0,79.0,nat
198,chan chi ming,19640528,na,na,na,hong kong china,163.0,59.0,nat
199,chan kong wah,19610831,na,na,na,hong kong china,176.0,70.0,nat
200,tim he,19620414,na,na,na,hong kong china,176.0,62.0,nat
201,liu fuk man,19521011,na,na,na,hong kong china,176.0,75.0,nat
202,lo chuen tsung,19631008,na,na,na,hong kong china,170.0,60.0,nat
203,ng pak kum,19681008,na,na,na,hong kong china,176.0,63.0,nat
204,vong lu veng,19500312,na,na,na,hong kong china,170.0,60.0,nat
205,wong wai lap,19690716,na,na,na,hong kong china,179.0,67.0,nat
206,csilla btorfi,19690303,szombathely,vas,hun,hungary,165.0,69.0,nat
207,virg csurg,19721110,sifok,somogy,hun,hungary,172.0,63.0,nat
208,andrea dak,19720812,budapest,budapest,hun,hungary,165.0,60.0,nat
209,csilla frin,19690102,debrecen,hajdbihar,hun,hungary,166.0,53.0,nat
210,andrea harsgi,19710322,nyregyhza,szabolcsszatmrbereg,hun,hungary,171.0,56.0,nat
211,ilona vradi,18910804,budapest,budapest,hun,hungary,176.0,70.0,19450219
212,andrea temesvri,19660426,budapest,budapest,hun,hungary,180.0,64.0,nat
213,krisztina tth,19740529,miskolc,borsodabajzempln,hun,hungary,164.0,62.0,nat
214,edit urbn,19610327,budapest,budapest,hun,hungary,163.0,65.0,nat
215,zoltn btorfi,19750720,szombathely,vas,hun,hungary,188.0,79.0,nat
216,lajos gncz,18870616,kszeg,vas,hun,hungary,176.0,70.0,19741014
217,zsolt harczi,19670217,cegld,pest,hun,hungary,180.0,72.0,nat
218,klmn kirchmayer,18971115,rzeszw,podkarpackie,pol,hungary,176.0,70.0,19901106
219,tibor klampr,19530430,budapest,budapest,hun,hungary,180.0,75.0,nat
220,zsolt kriston,19610212,miskolc,borsodabajzempln,hun,hungary,185.0,76.0,nat
221,gbor kves,19700107,budapest,budapest,hun,hungary,187.0,87.0,nat
222,dezs lauber,18790523,pcs,baranya,hun,hungary,176.0,70.0,19660905
223,lszl markovits,19700404,ciudad de mxico mexico city,ciudad de mxico,mex,hungary,180.0,80.0,nat
224,kroly nmeth,19700831,budapest,budapest,hun,hungary,167.0,67.0,nat
225,sndor noszly,19720316,budapest,budapest,hun,hungary,192.0,90.0,nat
226,momcsill tapavicza,18721014,nadalj,juna baka,srb,hungary,176.0,70.0,19490110
227,ede tth,18840311,oradea,bihor,rou,hungary,176.0,70.0,19430301
228,le barth,18910609,budapest,budapest,hun,hungary,176.0,70.0,nat
229,aurl kelemen,18880420,budapest,budapest,hun,hungary,176.0,70.0,19681110
230,bla kehrling,18910125,spisk sobota,preov,svk,hungary,176.0,70.0,19370426
231,jen zsigmondy,18880704,budapest,budapest,hun,hungary,176.0,70.0,19300730
232,aida steshenko,19680811,na,na,na,turkmenistan,168.0,58.0,nat
233,yayuk basuki,19701130,yogyakarta,daerah istimewa yogyakarta,ina,indonesia,165.0,55.0,nat
234,rossy pratiwi dipoyanti,19720628,bandung,jawa barat,ina,indonesia,176.0,70.0,nat
235,finarsih,19720208,sleman,jawa tengah,ina,indonesia,176.0,70.0,nat
236,ling ling agustin,19690823,kediri,jawa timur,ina,indonesia,176.0,70.0,nat
237,anton liederer,19560520,na,na,na,austria,174.0,67.0,nat
238,riseu rosalina,19720919,na,na,na,indonesia,176.0,70.0,nat
239,zelin resiana,19720709,magelang,jawa tengah,ina,indonesia,169.0,58.0,nat
240,yuliani santoso,19711029,semarang,jawa tengah,ina,indonesia,176.0,70.0,nat
241,sarwendah kusumawardhani,19670822,malang,jawa timur,ina,indonesia,176.0,70.0,nat
242,erma sulistianingsih,19651105,na,na,na,indonesia,176.0,70.0,nat
243,susy susanti,19710211,tasikmalaya,jawa barat,ina,indonesia,161.0,70.0,nat
244,lili tampi,19700519,tasikmalaya,jawa barat,ina,indonesia,161.0,70.0,nat
245,romana tedjakusuma,19760724,surabaya,jawa timur,ina,indonesia,176.0,70.0,nat
246,rosiana tendean,19640825,makassar,sulawesi selatan,ina,indonesia,176.0,70.0,nat
247,minarti timur,19680324,surabaya,jawa timur,ina,indonesia,163.0,55.0,nat
248,mia audina,19790822,jakarta,daerah khusus ibukota jakarta,ina,indonesia netherlands,163.0,67.0,nat
249,suzanna wibowo,19631125,jakarta,daerah khusus ibukota jakarta,ina,indonesia,176.0,70.0,nat
250,antonius ariantho,19711003,pekalongan,jawa tengah,ina,indonesia,170.0,66.0,nat
251,rudy gunawan,19661231,solo,jawa tengah,ina,indonesia,185.0,83.0,nat
252,eddy hartono,19640719,kudus,jawa tengah,ina,indonesia,173.0,73.0,nat
253,hariyanto arbi,19720121,kudus,jawa tengah,ina,indonesia,178.0,70.0,nat
254,tri kusharyanto,19740118,yogyakarta,daerah istimewa yogyakarta,ina,indonesia,167.0,60.0,nat
255,alan budikusuma,19680329,surabaya,jawa timur,ina,indonesia,178.0,71.0,nat
256,denny kantono,19700112,samarinda,kalimantan timur,ina,indonesia,182.0,70.0,nat
257,flandy limpele,19740209,manado,sulawesi utara,ina,indonesia,181.0,73.0,nat
258,rexy mainaky,19680309,ternate,maluku utara,ina,indonesia,170.0,65.0,nat
259,tonny maringgi,19590610,kendari,sulawesi tenggara,ina,indonesia,167.0,65.0,20190915
260,ricky subagja,19710127,bandung,jawa barat,ina,indonesia,172.0,62.0,nat
261,suharyadi,19650214,blora,jawa tengah,ina,indonesia,170.0,60.0,nat
262,bambang suprianto,19690820,solo,jawa tengah,ina,indonesia,173.0,69.0,nat
263,joko suprianto,19660121,solo,jawa tengah,ina,indonesia,173.0,68.0,nat
264,hermawan susanto,19670924,kudus,jawa tengah,ina,indonesia,170.0,62.0,nat
265,anton suseno,19711215,indramayu,jawa barat,ina,indonesia,178.0,70.0,nat
266,donald wailan walalangi,19600414,jakarta,daerah khusus ibukota jakarta,ina,indonesia,174.0,67.0,nat
267,benny wijaya,19731028,kebumen,jawa tengah,ina,indonesia,180.0,70.0,nat
268,ardy wiranata,19700210,jakarta,daerah khusus ibukota jakarta,ina,indonesia,171.0,67.0,nat
269,bonit wiryawan,19680210,surabaya,jawa timur,ina,indonesia,172.0,61.0,nat
270,madhumita bisht,19641005,na,na,na,india,176.0,70.0,nat
271,nora polley,18940729,budaun,uttar pradesh,ind,india,176.0,70.0,19880101
272,ambika radhika,19730517,na,na,na,india,176.0,70.0,nat
273,niyati royshah,19650930,na,na,na,india,176.0,70.0,nat
274,zeeshan ali,19700101,kolkata calcutta,west bengal,ind,india,180.0,64.0,nat
275,anand amritraj,19520320,chennai madras,tamil nadu,ind,india,185.0,77.0,nat
276,vijay amritraj,19531214,chennai madras,tamil nadu,ind,india,193.0,75.0,nat
277,chetan baboor,19740422,na,na,na,india,188.0,70.0,nat
278,deepankar bhattacharya,19720201,na,na,na,india,178.0,68.0,nat
279,mahesh bhupathi,19740607,chennai madras,tamil nadu,ind,india,185.0,88.0,nat
280,ali athar fyzee,18830828,mumbai,maharashtra,ind,india,176.0,70.0,19631103
281,sujay ghorpade,19650110,na,na,na,india,176.0,70.0,nat
282,s m hadi,18990812,hyderabad,andhra pradesh,ind,india,176.0,70.0,19710714
283,sydney jacob,18791028,kasauli,himachal pradesh,ind,india,176.0,70.0,19770214
284,ramesh krishnan,19610605,chennai madras,tamil nadu,ind,india,170.0,63.0,nat
285,vimal kumar,19621119,na,na,na,india,184.0,78.0,nat
286,kamlesh mehta,19600501,mumbai,maharashtra,ind,india,176.0,70.0,nat
287,leander paes,19730617,kolkata calcutta,west bengal,ind,india,178.0,77.0,nat
288,donald rutnam,19020919,colombo,basnahira,sri,india,176.0,70.0,19680610
289,mohammed sleem,18920114,multan,punjab,pak,india,176.0,70.0,nat
290,ngel bello,19510109,vigo,pontevedra,esp,argentina,176.0,70.0,20130613
291,claudio pafundi,19620131,na,na,na,argentina,176.0,70.0,nat
292,maureen adams,19370827,na,na,na,australia,169.0,68.0,20171215
293,deonne bridger,19720515,perth,western australia,aus,australia,168.0,62.0,nat
294,terry donovan,19441227,na,na,na,australia,157.0,53.0,nat
295,myfanwy matthews,19751229,dubbo,new south wales,aus,australia,174.0,60.0,nat
296,carole toy,19480718,na,na,na,australia,164.0,61.0,nat
297,david anear,19480326,lowestoft,england,gbr,australia,175.0,80.0,nat
298,christopher blake,19530613,na,na,na,australia,180.0,81.0,nat
299,scott dumbrell,19610203,na,na,na,australia,182.0,66.0,nat
300,simon fairweather,19691009,adelaide,south australia,aus,australia,175.0,71.0,nat
301,jackson fear,19780113,sydney,new south wales,aus,australia,178.0,125.0,20060721
302,matt gray,19730624,yea,victoria,aus,australia,189.0,86.0,nat
303,grant greenham,19540720,perth,western australia,aus,australia,176.0,70.0,20180823
304,scott hunterrussell,19700601,sydney,new south wales,aus,australia,164.0,65.0,nat
305,terry reilly,19471024,na,na,na,australia,180.0,72.0,nat
306,graeme telford,19420319,na,na,na,australia,185.0,70.0,nat
307,rodney wagner,19550730,na,na,na,australia,183.0,89.0,nat
308,ursula valenta,19510717,na,na,na,austria,171.0,62.0,nat
309,peter mitterer,19470412,gmunden,obersterreich,aut,austria,180.0,79.0,nat
310,oswald probst,19350709,wien vienna,wien,aut,austria,172.0,67.0,20150715
311,marieclaire van stevens,19480522,vilvoorde,vlaams brabant,bel,belgium,157.0,60.0,nat
312,raymonda verlinden,19450925,kessel,antwerpen,bel,belgium,157.0,60.0,nat
313,alphonse allaert,18721027,sintmichiels,westvlaanderen,bel,belgium,176.0,70.0,nat
314,andr baeyens,19460929,erondegem,oostvlaanderen,bel,belgium,168.0,70.0,nat
315,pierre blacks,19481020,ixelles,rgion de bruxellescapitale,bel,belgium,182.0,75.0,nat
316,edmond cloetens,nat,na,na,na,belgium,176.0,70.0,nat
317,robert cogniaux,19340529,asse,vlaams brabant,bel,belgium,173.0,75.0,nat
318,jos daman,19451015,mechelen mechlin,antwerpen,bel,belgium,167.0,70.0,nat
319,victor de knibber,18750123,sintjoosttennode,rgion de bruxellescapitale,bel,belgium,176.0,70.0,nat
320,patrick de koning,19610423,dendermonde,oostvlaanderen,bel,belgium,178.0,92.0,nat
321,jrme de mayer,18750721,na,na,na,belgium,176.0,70.0,19580818
322,louis delcon,nat,na,na,na,belgium,176.0,70.0,nat
323,druart jr,nat,na,na,na,belgium,176.0,70.0,nat
324,louis fierens,18751014,duffel,antwerpen,bel,belgium,176.0,70.0,19670101
325,firmin flamand,nat,na,na,na,belgium,176.0,70.0,nat
326,emmanuel foulon,18711229,frameries,hainaut,bel,belgium,176.0,70.0,19450722
327,joseph hermans,nat,na,na,na,belgium,176.0,70.0,nat
328,francis notenboom,19570809,essen,antwerpen,bel,belgium,180.0,83.0,nat
329,louis van beeck,nat,na,na,na,belgium,176.0,70.0,nat
330,louis van de perck,18891014,hoboken,antwerpen,bel,belgium,176.0,70.0,19531130
331,auguste van de verre,nat,na,na,na,belgium,176.0,70.0,nat
332,willy van den bossche,19490122,adegem,oostvlaanderen,bel,belgium,176.0,78.0,nat
333,hubert van innis,18660224,elewijt,vlaams brabant,bel,belgium,176.0,70.0,19611125
334,edmond van moer,nat,na,na,na,belgium,176.0,70.0,nat
335,pierre van tilt,nat,na,na,na,belgium,176.0,70.0,nat
336,paul vermeiren,19630827,herentals,antwerpen,bel,belgium,181.0,79.0,nat
337,marnix vervinck,19590809,beernem,westvlaanderen,bel,belgium,172.0,72.0,nat
338,karma chhoden,19660613,na,na,na,bhutan,174.0,55.0,nat
339,sonam chuki,19630407,na,na,na,bhutan,163.0,48.0,nat
340,rinzi lham,19671010,na,na,na,bhutan,163.0,57.0,nat
341,namgyal lhamu,19740405,na,na,na,bhutan,163.0,57.0,nat
342,pem tshering,19750910,na,na,na,bhutan,176.0,70.0,nat
343,karma tshomo,19731010,na,na,na,bhutan,176.0,70.0,nat
344,ugyen ugyen,19740602,na,na,na,bhutan,176.0,70.0,nat
345,thinley dorji,19501120,na,na,na,bhutan,180.0,75.0,nat
346,jubzang jubzang,19710507,na,na,na,bhutan,163.0,55.0,nat
347,nawangdash pelzang,19510715,na,na,na,bhutan,176.0,60.0,nat
348,karma tenzin,19721201,na,na,na,bhutan,176.0,70.0,nat
349,jigme tshering,19591018,na,na,na,bhutan,163.0,58.0,nat
350,lhendup tshering,19470605,na,na,na,bhutan,173.0,77.0,nat
